YEAR,DAY_MONTH,TIME24HR,VESSEL,CRUISE,HAUL,HAULJOIN,SPECIES_CODE,WEIGHT,NUMBER_FISH,SUBSAMPLE_CODE,DURATION,DISTANCE_FISHED,NET_WIDTH,STATIONID,STRATUM,START_LATITUDE,END_LATITUDE,START_LONGITUDE,END_LONGITUDE,BOTTOM_DEPTH,SURFACE_TEMPERATURE,GEAR_TEMPERATURE
2015,7-Jun,10:34:56,94,201501,24,-13959,21740,340.15,969,NA,0.533,2.989,16.663,F-09,31,56.64779,56.67464,-162.77401,-162.77096,73,6.9,4.3
2015,7-Jun,13:33:55,94,201501,25,-13952,21740,7.76,11,NA,0.507,2.766,15.63,E-09,31,56.33962,56.31482,-162.7953,-162.79151,79,7.3,4.2
2015,7-Jun,16:14:43,94,201501,26,-13960,21740,52,63,NA,0.507,2.749,16.176,D-09,31,56.00338,55.97875,-162.8138,-162.81782,78,7.8,4.2
2015,8-Jun,6:44:59,94,201501,27,-14127,21740,710.753,1067,NA,0.523,2.921,16.542,D-10,31,56.00406,55.98539,-162.23071,-162.2636,70,7.3,4.7
2015,8-Jun,10:08:16,94,201501,28,-14128,21740,95,106,NA,0.508,2.714,15.242,C-09,10,55.67969,55.66486,-162.81077,-162.84497,51,7,5.6
2015,8-Jun,13:16:54,94,201501,29,-14129,21740,1120.056,1979,NA,0.514,2.853,16.979,C-08,31,55.67248,55.65641,-163.39825,-163.36295,82,7.2,4.8
2015,8-Jun,16:24:12,94,201501,30,-14130,21740,249.972,440,NA,0.528,2.901,16.457,B-08,31,55.34785,55.32368,-163.42662,-163.40939,53,7.6,5.8
2015,9-Jun,6:38:47,94,201501,31,-14131,21740,254.376,309,NA,0.507,2.712,16.917,B-07,31,55.34304,55.32569,-164.01952,-164.04952,78,7.2,5
2015,9-Jun,9:08:49,94,201501,32,-14132,21740,616.553,683,NA,0.534,2.875,16.787,B-06,31,55.35321,55.34019,-164.54243,-164.58154,101,7.3,5.1
2015,9-Jun,11:53:19,94,201501,33,-14115,21740,2239.422,4854,NA,0.509,2.732,16.708,A-06,31,55.05515,55.03353,-164.56682,-164.58712,65,7.2,5.8
2015,9-Jun,14:53:32,94,201501,34,-14133,21740,747.737,999,NA,0.516,2.923,17.464,A-05,50,55.00772,54.98704,-165.13412,-165.16231,111,6.4,4.9
2015,9-Jun,17:38:21,94,201501,35,-14134,21740,1262.125,2419,NA,0.512,2.819,16.875,Z-05,31,54.69334,54.66797,-165.14239,-165.14164,82,6.8,5.9
2015,11-Jun,13:24:06,94,201501,36,-14148,21740,357.886,398,NA,0.526,3.012,17.717,B-05,50,55.31386,55.3409,-165.17237,-165.16929,112,7.1,5.1
2015,11-Jun,16:34:11,94,201501,37,-14135,21740,45.112,45,NA,0.532,3.002,17.85,C-05,31,55.63985,55.65747,-165.18867,-165.15261,110,7.2,5.1
2015,12-Jun,6:42:33,94,201501,38,-14136,21740,260.76,261,NA,0.524,2.876,16.856,C-06,31,55.66428,55.66161,-164.59528,-164.5499,97,7.1,4.9
2015,12-Jun,9:34:27,94,201501,39,-14137,21740,436.722,507,NA,0.521,2.839,16.918,C-07,31,55.66385,55.68878,-164.00928,-163.99939,94,7.3,4.8
2015,12-Jun,12:15:20,94,201501,40,-14116,21740,221.821,242,NA,0.524,2.827,16.908,D-07,31,55.985,56.01023,-164.03867,-164.04435,90,7.2,4.6
2015,12-Jun,14:56:16,94,201501,41,-14117,21740,449.542,538,NA,0.521,3.001,17.323,D-06,31,56.00239,56.02325,-164.56741,-164.59789,93,7.3,4.7
2015,12-Jun,17:52:45,94,201501,42,-14118,21740,139.85,176,NA,0.524,2.989,17.01,D-05,31,55.99015,56.01265,-165.16083,-165.18703,97,7.4,4.5
2015,13-Jun,6:45:19,94,201501,43,-14138,21740,155.81,334,NA,0.519,2.849,17.153,E-05,31,56.32836,56.35399,-165.19224,-165.19235,87,7.2,4.6
2015,13-Jun,9:22:49,94,201501,44,-14119,21740,112.008,315,NA,0.514,2.945,16.145,F-05,31,56.64947,56.67552,-165.21901,-165.22778,76,7.1,4
2015,13-Jun,12:16:00,94,201501,45,-14120,21740,188.245,452,NA,0.524,2.953,16.919,G-05,31,56.99424,57.01961,-165.22261,-165.23701,70,6.9,3.6
2015,13-Jun,14:48:50,94,201501,46,-14153,21740,285.466,1003,NA,0.507,2.814,16.665,H-05,31,57.31193,57.33689,-165.21561,-165.22344,67,6.8,3.2
2015,13-Jun,17:31:29,94,201501,47,-14139,21740,166.878,273,NA,0.522,2.949,16.488,I-05,31,57.65946,57.68585,-165.24858,-165.24333,61,6.7,3
2015,14-Jun,6:43:43,94,201501,48,-14140,21740,325.434,474,NA,0.522,2.936,15.691,J-05,10,57.99927,58.0255,-165.24259,-165.23646,50,5.7,4.5
2015,14-Jun,9:19:11,94,201501,49,-14141,21740,998.153,1133,NA,0.51,2.823,15.806,K-05,10,58.3218,58.34717,-165.28095,-165.28337,46,4.6,4.5
2015,14-Jun,12:05:17,94,201501,50,-14142,21740,162.362,183,NA,0.526,2.805,16.03,L-05,10,58.66268,58.68768,-165.30461,-165.31122,39,5.2,5.2
2015,14-Jun,14:40:19,94,201501,51,-14143,21740,38.42,31,NA,0.522,2.982,15.718,M-05,10,58.9831,59.0081,-165.3052,-165.32398,27,5.3,5.3
2015,14-Jun,17:08:03,94,201501,52,-14144,21740,8.05,10,NA,0.534,3.032,14.526,N-05,20,59.31935,59.34664,-165.32014,-165.32068,21,5.6,5.6
2015,15-Jun,6:43:38,94,201501,53,-14145,21740,853.249,1068,NA,0.515,2.849,16.136,L-03,20,58.67157,58.64644,-166.55962,-166.54998,42,3.8,3.7
2015,15-Jun,9:15:53,94,201501,54,-14146,21740,916.016,1350,NA,0.511,2.918,15.853,K-03,10,58.34862,58.32238,-166.55767,-166.55597,48,3.9,3.8
2015,15-Jun,11:44:21,94,201501,55,-14121,21740,601.779,881,NA,0.509,2.963,16.335,J-03,31,58.0193,57.99295,-166.51335,-166.52113,61,5.8,3.1
2015,15-Jun,14:22:23,94,201501,56,-14122,21740,465.197,1195,NA,0.507,2.84,16.595,I-03,31,57.68633,57.6622,-166.50175,-166.51743,66,5.9,2.9
2015,15-Jun,17:03:39,94,201501,57,-14123,21740,423.475,1202,NA,0.524,2.775,16.254,H-03,31,57.35052,57.32565,-166.48047,-166.48464,70,6.6,3.4
2015,16-Jun,6:41:57,94,201501,58,-14147,21740,90.444,236,NA,0.531,2.955,16.987,G-03,31,57.02508,56.99852,-166.44924,-166.4474,75,7.3,3.7
2015,16-Jun,9:26:29,94,201501,59,-14124,21740,129.274,256,NA,0.509,2.926,17.677,F-03,31,56.67897,56.65265,-166.44237,-166.44085,85,7.4,4
2015,16-Jun,13:38:41,94,201501,61,-14126,21740,109.7,127,NA,0.51,2.879,17.735,E-03,31,56.3347,56.30984,-166.42911,-166.44216,104,7.7,4.8
2015,16-Jun,16:19:09,94,201501,62,-14149,21740,31.06,33,NA,0.534,2.952,18.774,D-03,50,56.00575,55.98301,-166.40105,-166.37665,124,7.8,5.1
2015,17-Jun,6:46:23,94,201501,64,-14151,21740,9.84,11,NA,0.521,2.885,19.073,C-03,50,55.67307,55.64811,-166.38873,-166.37608,127,7.9,5
2015,17-Jun,9:26:09,94,201501,65,-14152,21740,40.238,51,NA,0.507,2.862,19.926,B-03,50,55.33254,55.30684,-166.34637,-166.34359,133,8,4.7
2015,22-Jun,7:15:54,94,201501,66,-14480,21740,107.83,123,NA,0.514,2.775,18.22,B-01,50,55.32572,55.34407,-167.53677,-167.56636,149,9.1,4.4
2015,22-Jun,11:21:27,94,201501,68,-14482,21740,8.14,8,NA,0.517,2.764,19.334,C-01,50,55.65953,55.68439,-167.59929,-167.59815,135,9.3,5
2015,22-Jun,14:04:36,94,201501,69,-14483,21740,2.05,5,NA,0.525,2.946,18.841,D-01,50,55.99277,56.01921,-167.61739,-167.62098,133,9.6,5
2015,22-Jun,16:46:54,94,201501,70,-14484,21740,5.28,12,NA,0.546,2.941,18.23,E-01,50,56.32332,56.34916,-167.64818,-167.65846,129,9.4,5.1
2015,23-Jun,7:13:03,94,201501,71,-14485,21740,27.3,32,NA,0.535,2.896,17.955,F-01,31,56.6536,56.67952,-167.66628,-167.6713,104,9.5,4.2
2015,23-Jun,10:01:46,94,201501,72,-14486,21740,311.412,679,NA,0.518,2.87,17.167,G-01,31,56.98998,57.01573,-167.69434,-167.69786,78,9.2,3.5
2015,23-Jun,14:00:18,94,201501,74,-14488,21740,410.645,603,NA,0.532,2.878,16.727,H-01,31,57.32078,57.34668,-167.72621,-167.72632,74,9,2.9
2015,23-Jun,16:38:45,94,201501,75,-14489,21740,811.192,1249,NA,0.506,2.815,16.108,I-01,31,57.65399,57.67928,-167.76147,-167.76421,69,8.2,3.3
2015,24-Jun,7:12:18,94,201501,76,-14490,21740,342.061,589,NA,0.524,2.85,16.371,J-01,41,57.98209,58.00715,-167.79551,-167.80576,67,7.3,2.9
2015,24-Jun,10:10:15,94,201501,77,-14491,21740,2150.19,4468,NA,0.524,2.978,17.014,K-01,41,58.32117,58.34683,-167.83637,-167.85096,60,6.2,3.1
2015,24-Jun,13:01:16,94,201501,78,-14492,21740,995.02,2163,NA,0.519,2.876,16.46,L-01,20,58.65362,58.6793,-167.85825,-167.86427,47,4.2,3.6
2015,24-Jun,16:07:43,94,201501,80,-14493,21740,123.172,165,NA,0.525,2.847,16.314,M-01,20,58.98898,59.01447,-167.87604,-167.88109,42,3.8,3.6
2015,24-Jun,18:52:00,94,201501,81,-14494,21740,188.134,208,NA,0.526,2.85,16.196,N-01,20,59.31548,59.34052,-167.90268,-167.91351,40,4.1,3.8
2015,25-Jun,7:10:21,94,201501,82,-14495,21740,301.882,244,NA,0.513,2.826,15.339,Q-02,20,60.33162,60.33615,-167.30796,-167.25776,31,5.9,6
2015,25-Jun,9:56:15,94,201501,83,-14496,21740,39.884,222,NA,0.514,2.899,16.039,Q-01,20,60.33177,60.33006,-167.93015,-167.98238,31,5.6,5.6
2015,25-Jun,12:37:51,94,201501,84,-14497,21740,787.979,914,NA,0.507,2.955,16,Q-18,20,60.33271,60.33561,-168.61974,-168.67278,36,5.2,4.2
2015,25-Jun,15:18:27,94,201501,85,-14498,21740,260.586,391,NA,0.522,2.787,16.849,Q-19,20,60.33519,60.34086,-169.25992,-169.30891,43,5,1.4
2015,25-Jun,18:25:55,94,201501,86,-14499,21740,296.987,458,NA,0.514,2.804,16.979,P-19,20,60.00543,59.99544,-169.28502,-169.33103,46,5.3,1.2
2015,26-Jun,7:10:29,94,201501,87,-14500,21740,880.76,1326,NA,0.523,3.01,16.82,O-19,20,59.68026,59.65318,-169.27077,-169.26907,48,5,1.8
2015,26-Jun,9:52:51,94,201501,88,-14501,21740,637.035,877,NA,0.512,2.865,16.682,N-19,20,59.34245,59.31673,-169.24224,-169.24548,50,4.7,1.4
2015,26-Jun,12:37:37,94,201501,89,-14502,21740,145.223,632,NA,0.527,2.915,16.659,M-19,41,59.01296,58.98673,-169.19065,-169.19138,54,4.5,1.8
2015,26-Jun,15:25:17,94,201501,90,-14503,21740,1020.883,1356,NA,0.518,2.85,16.708,L-19,41,58.68797,58.66246,-169.15304,-169.14792,63,5.6,1
2015,26-Jun,18:20:16,94,201501,91,-14504,21740,1131.588,1895,NA,0.51,2.913,16.979,K-19,41,58.3567,58.33137,-169.12391,-169.1111,68,6.3,1.7
2015,27-Jun,7:13:18,94,201501,92,-14505,21740,708.205,1893,NA,0.506,2.775,16.944,J-19,42,58.00562,57.9964,-169.09886,-169.05533,70,6,2.5
2015,27-Jun,10:05:41,94,201501,93,-14506,21740,1882.357,3904,NA,0.522,2.908,17.032,JI1918,42,57.84472,57.82492,-168.7472,-168.71529,70,6.2,2.6
2015,27-Jun,13:37:58,94,201501,94,-14507,21740,1384.554,2773,NA,0.525,2.812,16.488,JI2019,42,57.83022,57.8433,-169.35476,-169.39515,66,6.6,3.6
2015,27-Jun,16:37:48,94,201501,95,-14508,21740,3110.51,5579,NA,0.539,3.05,16.673,I-19,42,57.67832,57.66145,-169.06436,-169.02412,69,7,2.7
2015,28-Jun,7:12:19,94,201501,96,-14509,21740,590.618,1096,NA,0.527,2.972,16.922,IH1918,42,57.51241,57.48916,-168.75459,-168.73012,71,6.7,3
2015,28-Jun,9:56:03,94,201501,97,-14510,21740,1497.744,2577,NA,0.532,2.933,16.771,H-19,42,57.3422,57.31581,-168.97935,-168.97851,69,6.7,4
2015,28-Jun,14:47:35,94,201501,100,-14512,21740,3644.871,5990,NA,0.516,2.818,16.246,HG1918,32,57.18013,57.15569,-168.64315,-168.63072,76,7.3,3.9
2015,28-Jun,17:19:47,94,201501,101,-14513,21740,1181.186,1563,NA,0.525,2.765,16.251,G-19,32,57.01165,56.9868,-168.9463,-168.94851,80,7.8,4.2
2015,29-Jun,7:14:21,94,201501,102,-14514,21740,780.755,1070,NA,0.519,2.901,16.41,GF2019,32,56.83636,56.82762,-169.32948,-169.28479,80,7.8,4.4
2015,29-Jun,10:17:40,94,201501,103,-14515,21740,223.168,290,NA,0.512,2.924,16.439,GF1918,32,56.83184,56.83118,-168.64525,-168.59747,96,7.9,3.9
2015,29-Jun,12:58:37,94,201501,104,-14516,21740,63.4,76,NA,0.514,2.874,16.836,F-19,32,56.68147,56.65598,-168.90937,-168.91722,99,8.5,3.7
2015,29-Jun,16:53:26,94,201501,106,-14518,21740,158.852,250,NA,0.527,2.959,17.153,F-20,32,56.6614,56.68498,-169.48994,-169.51234,80,8.2,5.5
2015,30-Jun,7:15:19,94,201501,107,-14519,21740,551.668,645,NA,0.512,2.818,18.306,E-21,50,56.32832,56.3499,-170.05614,-170.08,110,8.6,4.6
2015,30-Jun,9:57:58,94,201501,108,-14520,21740,633.954,703,NA,0.54,3.079,17.069,F-21,42,56.66199,56.6831,-170.11663,-170.14908,97,8.1,5.2
2015,30-Jun,12:15:25,94,201501,109,-14521,21740,1449.815,2879,NA,0.524,3.006,16.56,GF2120,42,56.82019,56.83766,-169.89404,-169.93154,73,7.8,5.4
2015,30-Jun,14:56:39,94,201501,110,-14522,21740,0.612,4,NA,0.525,3.075,15.591,HG2120,42,57.13192,57.15904,-169.90072,-169.89064,50,7.1,6.2
2015,1-Jul,9:02:11,94,201501,112,-14523,21740,243.767,463,NA,0.516,2.876,16.082,G-21,42,57.00277,57.00034,-170.13539,-170.1824,68,7.9,5.2
2015,1-Jul,12:27:52,94,201501,113,-14524,21740,278.494,331,NA,0.515,2.858,17.224,GF2221,42,56.85521,56.83464,-170.51421,-170.48615,101,8.7,4.7
2015,1-Jul,14:36:54,94,201501,114,-14525,21740,246.318,339,NA,0.53,2.805,17.278,F-22,61,56.67132,56.64644,-170.74272,-170.73501,113,7.8,4.6
2015,1-Jul,17:17:09,94,201501,115,-14526,21740,457.566,583,NA,0.503,2.83,17.51,E-22,61,56.35799,56.33253,-170.68405,-170.68466,120,9,4.6
2015,2-Jul,7:14:00,94,201501,116,-14527,21740,361,491,NA,0.514,2.769,17.497,F-23,61,56.659,56.68377,-171.35569,-171.3607,120,8.8,4.4
2015,2-Jul,10:09:28,94,201501,117,-14528,21740,164.224,175,NA,0.526,2.976,17.925,G-23,61,57.00961,56.99395,-171.42592,-171.38628,109,8.4,4.3
2015,2-Jul,13:12:21,94,201501,118,-14529,21740,1021.767,1355,NA,0.524,2.861,17.705,G-22,42,57.01141,56.99271,-170.79908,-170.76676,95,8.1,4.9
2015,4-Jul,7:27:07,94,201501,119,-14552,21740,417.244,598,NA,0.507,2.836,16.48,HG2221,42,57.10793,57.12801,-170.44898,-170.47777,51,7.3,6.2
2015,4-Jul,10:00:28,94,201501,120,-14553,21740,5993.865,8894,NA,0.514,2.81,15.756,H-21,42,57.32332,57.34122,-170.24433,-170.21147,55,6.8,6.5
2015,4-Jul,12:58:19,94,201501,121,-14554,21740,5762.102,9505,NA,0.503,2.653,16.989,IH2120,42,57.48545,57.50388,-170.01086,-169.98278,67,8.1,4.3
2015,4-Jul,15:55:44,94,201501,122,-14555,21740,816.525,1553,NA,0.512,2.921,17.147,I-21,42,57.67308,57.66142,-170.25444,-170.29822,72,8,3.5
2015,5-Jul,7:15:34,94,201501,124,-14557,21740,931.872,1982,NA,0.516,2.893,17.579,JI2120,42,57.82999,57.84944,-169.98688,-170.01915,73,7.7,3.4
2015,5-Jul,9:29:18,94,201501,125,-14558,21740,1602.318,3996,NA,0.52,2.875,17.55,J-21,42,57.98371,58.00454,-170.30902,-170.33779,75,7.7,2.9
2015,5-Jul,12:24:01,94,201501,126,-14559,21740,688.66,1135,NA,0.514,2.863,17.567,K-21,41,58.32143,58.34131,-170.37039,-170.40138,74,6.9,0.5
2015,5-Jul,15:22:49,94,201501,127,-14560,21740,162.88,222,NA,0.525,2.931,18.09,L-21,41,58.65545,58.67787,-170.42843,-170.45499,73,6.5,0.2
2015,5-Jul,18:21:03,94,201501,128,-14561,21740,111.13,132,NA,0.534,2.982,18.571,M-21,41,58.99599,59.0186,-170.52005,-170.49218,71,6.3,-0.8
2015,6-Jul,7:11:48,94,201501,129,-14562,21740,1313.322,1946,NA,0.532,3.012,18.313,O-22,41,59.66356,59.66566,-171.21754,-171.27066,72,5.8,-1.1
2015,6-Jul,10:11:05,94,201501,130,-14563,21740,862.588,1293,NA,0.513,2.847,18.132,O-23,43,59.66525,59.66551,-171.87492,-171.92529,78,5.7,-1.3
2015,6-Jul,14:41:10,94,201501,131,-14564,21740,491.834,760,NA,0.522,2.949,19.209,N-23,43,59.33258,59.33266,-171.80527,-171.85692,81,5.5,-1.3
2015,7-Jul,7:13:23,94,201501,132,-14565,21740,142.796,223,NA,0.528,2.97,18.752,M-23,41,59.00991,58.98319,-171.78962,-171.79007,87,6.2,-1.3
2015,7-Jul,10:11:18,94,201501,133,-14542,21740,666.31,1023,NA,0.509,2.762,18.448,M-24,41,59.02378,58.99905,-172.4501,-172.44525,98,6.5,-0.4
2015,7-Jul,13:22:38,94,201501,134,-14543,21740,692.476,2117,NA,0.504,2.81,18.356,L-24,61,58.67793,58.66368,-172.38472,-172.34485,102,6.6,1.4
2015,7-Jul,16:39:11,94,201501,135,-14544,21740,822.109,1296,NA,0.509,2.817,18.482,L-23,41,58.67696,58.65901,-171.73829,-171.70408,93,6.5,0
2015,8-Jul,7:16:20,94,201501,136,-14545,21740,802.727,1386,NA,0.509,2.806,18.621,K-23,41,58.3439,58.32215,-171.65524,-171.63096,96,7.1,0.6
2015,8-Jul,10:38:22,94,201501,137,-14546,21740,914.936,1371,NA,0.509,2.88,18.521,J-23,41,58.0155,57.99352,-171.61165,-171.58592,98,7.4,1.3
2015,8-Jul,15:06:42,94,201501,139,-14548,21740,340.84,832,NA,0.5,2.817,18.447,I-23,41,57.68258,57.66725,-171.55117,-171.51363,100,8.3,2.3
2015,8-Jul,19:02:08,94,201501,140,-14549,21740,554.046,719,NA,0.5,2.716,17.916,H-22,42,57.34996,57.32612,-170.85171,-170.86171,83,7.9,5.1
2015,13-Jul,7:44:16,94,201501,141,-14695,21740,464.171,581,NA,0.526,2.994,17.63,K-25,61,58.32066,58.34758,-172.92597,-172.92785,110,8.5,3
2015,13-Jul,12:27:05,94,201501,143,-14697,21740,129.67,189,NA,0.273,1.538,18.08,L-25,61,58.66516,58.67882,-173.00894,-173.01312,112,8.1,2.4
2015,13-Jul,14:50:40,94,201501,144,-14698,21740,293.21,516,NA,0.276,1.573,18.202,M-25,61,58.9871,59.00112,-173.08721,-173.09093,107,7.4,1.8
2015,14-Jul,7:46:15,94,201501,145,-14699,21740,477.414,729,NA,0.538,2.952,17.882,N-25,43,59.3243,59.35079,-173.16511,-173.16874,101,7.4,0.4
2015,14-Jul,10:31:18,94,201501,146,-14700,21740,414.852,698,NA,0.527,2.828,17.531,ON2625,43,59.48089,59.50598,-173.50303,-173.51129,103,7.6,0.6
2015,14-Jul,13:39:51,94,201501,147,-14715,21740,320.15,824,NA,0.531,2.964,17.574,N-26,62,59.35537,59.33179,-173.81325,-173.83752,110,7.9,1.3
2015,14-Jul,16:35:53,94,201501,148,-14716,21740,289.29,1165,NA,0.521,2.928,17.992,N-27,62,59.32819,59.35413,-174.43954,-174.44859,120,7.3,2.1
2015,15-Jul,7:43:52,94,201501,149,-14701,21740,104.32,299,NA,0.519,2.868,17.405,O-27,62,59.66357,59.66975,-174.4749,-174.42563,116,7.6,1.8
2015,15-Jul,10:30:33,94,201501,150,-14702,21740,263.06,771,NA,0.533,2.957,17.611,PO2726,62,59.83972,59.82839,-174.25825,-174.21068,107,7.3,0.6
2015,15-Jul,13:11:21,94,201501,151,-14703,21740,449.27,1480,NA,0.531,2.882,17.55,O-26,62,59.66639,59.65806,-173.88673,-173.83843,104,7.7,1.2
2015,15-Jul,15:43:39,94,201501,152,-14704,21740,879.563,1395,NA,0.521,3.045,17.358,PO2625,43,59.81787,59.84468,-173.58432,-173.59549,95,7.1,-1
2015,15-Jul,18:32:58,94,201501,153,-14705,21740,905.978,1466,NA,0.529,2.785,17.742,P-26,43,59.9928,60.01431,-173.93871,-173.96422,97,7.3,-0.2
2015,16-Jul,7:43:02,94,201501,154,-14706,21740,696.97,994,NA,0.53,2.868,18.432,QP2625,43,60.11368,60.13875,-173.7796,-173.76742,89,7.1,-1.1
2015,16-Jul,12:53:41,94,201501,159,-14711,21740,893.876,1263,NA,0.265,1.409,17.435,Q-25,43,60.28537,60.29773,-173.38387,-173.37825,63,7,0.2
2015,16-Jul,15:31:22,94,201501,160,-14712,21740,831.406,1285,NA,0.524,2.936,17.931,Q-26,43,60.33855,60.32707,-174.04539,-174.09314,90,7.2,-0.8
2015,16-Jul,17:32:42,94,201501,161,-14713,21740,783.927,1375,NA,0.51,2.812,17.417,QP2726,43,60.17048,60.15223,-174.33506,-174.37004,100,7.4,0.5
2015,17-Jul,7:43:45,94,201501,162,-14714,21740,347.788,664,NA,0.528,2.927,17.818,P-27,62,59.99087,60.01637,-174.59571,-174.60879,109,7.3,0.6
2015,17-Jul,10:31:46,94,201501,163,-14717,21740,1100.673,1976,NA,0.511,2.901,17.556,Q-27,62,60.32317,60.34916,-174.7142,-174.71897,103,7.1,0.7
2015,17-Jul,13:19:42,94,201501,164,-14718,21740,623.17,1114,NA,0.516,2.936,17.801,R-27,41,60.65617,60.68259,-174.81581,-174.81558,98,7.3,-0.2
2015,17-Jul,16:06:37,94,201501,165,-14719,21740,968.336,1352,NA,0.525,2.953,16.845,R-26,41,60.66488,60.66653,-174.17242,-174.11867,86,7.1,-0.8
2015,17-Jul,18:53:29,94,201501,166,-14720,21740,395.186,561,NA,0.509,2.907,17.35,R-25,41,60.65435,60.6805,-173.47616,-173.4775,67,6.9,0
2015,18-Jul,7:43:12,94,201501,167,-14721,21740,2983.493,4652,NA,0.51,2.822,17.091,S-26,41,60.98885,61.01416,-174.18404,-174.18801,83,7.3,-0.9
2015,18-Jul,10:20:40,94,201501,168,-14722,21740,58.22,61,NA,0.511,2.794,17.386,T-26,82,61.3163,61.34133,-174.33189,-174.33696,79,7.4,-1.5
2015,18-Jul,13:02:43,94,201501,169,-14723,21740,46.18,104,NA,0.51,2.872,17.192,U-26,82,61.65893,61.66165,-174.37425,-174.428,77,7.6,-1.3
2015,18-Jul,15:45:52,94,201501,170,-14724,21740,11.57,19,NA,0.504,2.953,17.58,U-27,82,61.68091,61.65436,-175.08428,-175.08657,85,7.8,-1.3
2015,19-Jul,7:43:33,94,201501,171,-14725,21740,208.764,254,NA,0.529,2.904,18,T-27,82,61.34532,61.3194,-175.00706,-175.00013,88,7.3,-1.5
2015,19-Jul,10:33:16,94,201501,172,-14726,21740,1741.215,2720,NA,0.544,3.117,17.931,S-27,82,61.02367,61.00264,-174.86204,-174.90007,92,7.5,-0.6
2015,19-Jul,13:32:22,94,201501,173,-14727,21740,1810.213,3703,NA,0.504,2.889,17.77,S-28,90,61.01237,60.98636,-175.54118,-175.54117,102,7.5,0.7
