YEAR,HAULJOIN,STRATUM,STATIONID,SPECIES_CODE,SEX,LENGTH,WEIGHT,AGE,SPECIMENID,STATIONYEAR,LON,LAT
2015,-14155,50,A-04,21740,2,510,750,7,340,2015_A-04,-165.72826,54.99726
2015,-14155,50,A-04,21740,2,540,980,9,341,2015_A-04,-165.72826,54.99726
2015,-14155,50,A-04,21740,1,410,670,5,342,2015_A-04,-165.72826,54.99726
2015,-14155,50,A-04,21740,1,160,24,1,343,2015_A-04,-165.72826,54.99726
2019,-19014,50,A-04,21740,1,510,944,6,200,2019_A-04,-165.76491,55.00953
2019,-19014,50,A-04,21740,1,460,866,6,201,2019_A-04,-165.76491,55.00953
2019,-19014,50,A-04,21740,2,530,1012,7,202,2019_A-04,-165.76491,55.00953
2019,-19014,50,A-04,21740,2,530,1120,6,203,2019_A-04,-165.76491,55.00953
2019,-19014,50,A-04,21740,2,540,1040,6,204,2019_A-04,-165.76491,55.00953
2019,-19014,50,A-04,21740,2,170,36,1,205,2019_A-04,-165.76491,55.00953
2017,-16539,50,A-05,21740,2,490,796,7,281,2017_A-05,-165.16014,54.9776
2017,-16539,50,A-05,21740,2,540,948,10,282,2017_A-05,-165.16014,54.9776
2017,-16539,50,A-05,21740,1,480,890,7,283,2017_A-05,-165.16014,54.9776
2017,-16539,50,A-05,21740,1,410,588,4,284,2017_A-05,-165.16014,54.9776
2017,-16539,50,A-05,21740,1,510,976,7,285,2017_A-05,-165.16014,54.9776
2018,-17641,50,A-05,21740,1,440,688,5,232,2018_A-05,-165.13294,54.98494
2018,-17641,50,A-05,21740,2,510,964,5,233,2018_A-05,-165.13294,54.98494
2018,-17641,50,A-05,21740,2,430,594,4,234,2018_A-05,-165.13294,54.98494
2018,-17641,50,A-05,21740,2,500,864,6,235,2018_A-05,-165.13294,54.98494
2018,-17641,50,A-05,21740,2,480,934,5,236,2018_A-05,-165.13294,54.98494
2019,-18974,50,A-05,21740,1,510,984,7,84,2019_A-05,-165.15827,54.98716
2019,-18974,50,A-05,21740,1,480,916,5,85,2019_A-05,-165.15827,54.98716
2019,-18974,50,A-05,21740,2,550,1170,7,86,2019_A-05,-165.15827,54.98716
2019,-18974,50,A-05,21740,2,530,1062,8,87,2019_A-05,-165.15827,54.98716
2019,-18974,50,A-05,21740,2,520,1104,6,88,2019_A-05,-165.15827,54.98716
2016,-15308,50,A-05,21740,1,410,598,4,251,2016_A-05,-165.13454,54.99758
2016,-15308,50,A-05,21740,1,430,682,5,252,2016_A-05,-165.13454,54.99758
2016,-15308,50,A-05,21740,1,490,744,8,253,2016_A-05,-165.13454,54.99758
2016,-15308,50,A-05,21740,2,420,586,4,254,2016_A-05,-165.13454,54.99758
2016,-15308,50,A-05,21740,2,420,610,4,255,2016_A-05,-165.13454,54.99758
2015,-14133,50,A-05,21740,1,520,962,7,125,2015_A-05,-165.13412,55.00772
2015,-14133,50,A-05,21740,2,530,958,6,126,2015_A-05,-165.13412,55.00772
2015,-14133,50,A-05,21740,2,490,700,8,127,2015_A-05,-165.13412,55.00772
2015,-14133,50,A-05,21740,1,420,466,6,128,2015_A-05,-165.13412,55.00772
2015,-14133,50,A-05,21740,2,470,626,7,129,2015_A-05,-165.13412,55.00772
2015,-14133,50,A-05,21740,2,390,414,3,130,2015_A-05,-165.13412,55.00772
2017,-16540,31,A-06,21740,1,610,1514,9,286,2017_A-06,-164.59813,55.01002
2017,-16540,31,A-06,21740,1,440,626,5,287,2017_A-06,-164.59813,55.01002
2017,-16540,31,A-06,21740,2,490,866,6,288,2017_A-06,-164.59813,55.01002
2017,-16540,31,A-06,21740,2,500,866,7,289,2017_A-06,-164.59813,55.01002
2017,-16540,31,A-06,21740,2,450,674,5,290,2017_A-06,-164.59813,55.01002
2018,-17640,31,A-06,21740,1,440,642,5,227,2018_A-06,-164.57549,55.04147
2018,-17640,31,A-06,21740,1,440,630,5,228,2018_A-06,-164.57549,55.04147
2018,-17640,31,A-06,21740,1,470,708,6,229,2018_A-06,-164.57549,55.04147
2018,-17640,31,A-06,21740,1,440,600,5,230,2018_A-06,-164.57549,55.04147
2018,-17640,31,A-06,21740,2,540,1152,6,231,2018_A-06,-164.57549,55.04147
2015,-14115,31,A-06,21740,1,410,472,4,122,2015_A-06,-164.56682,55.05515
2015,-14115,31,A-06,21740,2,590,1204,8,119,2015_A-06,-164.56682,55.05515
2015,-14115,31,A-06,21740,2,390,414,4,120,2015_A-06,-164.56682,55.05515
2015,-14115,31,A-06,21740,2,370,376,3,121,2015_A-06,-164.56682,55.05515
2015,-14115,31,A-06,21740,1,350,364,3,123,2015_A-06,-164.56682,55.05515
2015,-14115,31,A-06,21740,1,440,550,4,124,2015_A-06,-164.56682,55.05515
2016,-15307,31,A-06,21740,1,430,576,5,246,2016_A-06,-164.56774,55.05802
2016,-15307,31,A-06,21740,1,390,448,4,247,2016_A-06,-164.56774,55.05802
2016,-15307,31,A-06,21740,1,450,688,7,248,2016_A-06,-164.56774,55.05802
2016,-15307,31,A-06,21740,2,470,744,6,249,2016_A-06,-164.56774,55.05802
2016,-15307,31,A-06,21740,2,440,608,4,250,2016_A-06,-164.56774,55.05802
2015,-14154,50,AZ0504,21740,1,500,806,7,331,2015_AZ0504,-165.50032,54.83224
2015,-14154,50,AZ0504,21740,1,460,650,NA,332,2015_AZ0504,-165.50032,54.83224
2015,-14154,50,AZ0504,21740,1,510,846,8,333,2015_AZ0504,-165.50032,54.83224
2015,-14154,50,AZ0504,21740,1,430,594,6,334,2015_AZ0504,-165.50032,54.83224
2015,-14154,50,AZ0504,21740,2,400,592,7,335,2015_AZ0504,-165.50032,54.83224
2015,-14154,50,AZ0504,21740,1,520,938,7,336,2015_AZ0504,-165.50032,54.83224
2016,-15519,50,AZ0504,21740,2,430,636,4,298,2016_AZ0504,-165.48603,54.83663
2016,-15519,50,AZ0504,21740,2,430,626,4,299,2016_AZ0504,-165.48603,54.83663
2016,-15519,50,AZ0504,21740,2,420,596,4,300,2016_AZ0504,-165.48603,54.83663
2016,-15519,50,AZ0504,21740,2,440,590,5,301,2016_AZ0504,-165.48603,54.83663
2016,-15519,50,AZ0504,21740,1,490,700,7,302,2016_AZ0504,-165.48603,54.83663
2016,-15519,50,AZ0504,21740,1,410,464,4,303,2016_AZ0504,-165.48603,54.83663
2015,-14480,50,B-01,21740,2,570,1324,8,288,2015_B-01,-167.53677,55.32572
2015,-14480,50,B-01,21740,2,510,952,8,289,2015_B-01,-167.53677,55.32572
2015,-14480,50,B-01,21740,2,550,1030,8,290,2015_B-01,-167.53677,55.32572
2015,-14480,50,B-01,21740,2,520,814,8,291,2015_B-01,-167.53677,55.32572
2015,-14480,50,B-01,21740,2,540,1052,7,292,2015_B-01,-167.53677,55.32572
2015,-14480,50,B-01,21740,1,560,1200,8,293,2015_B-01,-167.53677,55.32572
2016,-15380,50,B-01,21740,2,510,952,8,273,2016_B-01,-167.57479,55.33631
2016,-15380,50,B-01,21740,1,410,554,4,271,2016_B-01,-167.57479,55.33631
2016,-15380,50,B-01,21740,1,440,648,5,272,2016_B-01,-167.57479,55.33631
2016,-15380,50,B-01,21740,2,510,976,8,274,2016_B-01,-167.57479,55.33631
2016,-15380,50,B-01,21740,2,270,148,2,275,2016_B-01,-167.57479,55.33631
2018,-17680,50,B-01,21740,1,350,325,3,249,2018_B-01,-167.57566,55.35027
2018,-17680,50,B-01,21740,1,530,940,7,250,2018_B-01,-167.57566,55.35027
2018,-17680,50,B-01,21740,2,520,910,8,251,2018_B-01,-167.57566,55.35027
2018,-17680,50,B-01,21740,2,170,40,1,252,2018_B-01,-167.57566,55.35027
2017,-16839,50,B-01,21740,2,500,884,8,425,2017_B-01,-167.55913,55.35203
2017,-16839,50,B-01,21740,2,480,856,5,426,2017_B-01,-167.55913,55.35203
2017,-16839,50,B-01,21740,2,540,1122,9,427,2017_B-01,-167.55913,55.35203
2017,-16839,50,B-01,21740,2,470,644,5,428,2017_B-01,-167.55913,55.35203
2017,-16839,50,B-01,21740,1,470,714,5,429,2017_B-01,-167.55913,55.35203
2015,-14160,50,B-02,21740,1,480,706,7,356,2015_B-02,-166.9658,55.32225
2015,-14160,50,B-02,21740,1,350,284,3,357,2015_B-02,-166.9658,55.32225
2015,-14160,50,B-02,21740,1,350,296,3,358,2015_B-02,-166.9658,55.32225
2015,-14160,50,B-02,21740,2,600,1290,8,359,2015_B-02,-166.9658,55.32225
2015,-14160,50,B-02,21740,2,540,1014,7,360,2015_B-02,-166.9658,55.32225
2015,-14160,50,B-02,21740,2,360,352,3,361,2015_B-02,-166.9658,55.32225
2017,-16564,50,B-02,21740,2,520,1070,9,204,2017_B-02,-166.97147,55.3266
2017,-16564,50,B-02,21740,2,540,980,6,205,2017_B-02,-166.97147,55.3266
2017,-16564,50,B-02,21740,2,480,785,5,206,2017_B-02,-166.97147,55.3266
2017,-16564,50,B-02,21740,1,460,785,5,207,2017_B-02,-166.97147,55.3266
2017,-16564,50,B-02,21740,1,510,870,6,208,2017_B-02,-166.97147,55.3266
2018,-17681,50,B-02,21740,2,500,805,7,253,2018_B-02,-166.9964,55.34048
2018,-17705,50,B-03,21740,2,500,900,6,247,2018_B-03,-166.35095,55.36384
2018,-17705,50,B-03,21740,2,480,930,6,248,2018_B-03,-166.35095,55.36384
2016,-15378,50,B-04,21740,1,400,504,4,266,2016_B-04,-165.78965,55.30596
2016,-15378,50,B-04,21740,2,430,592,5,267,2016_B-04,-165.78965,55.30596
2016,-15378,50,B-04,21740,2,420,570,4,268,2016_B-04,-165.78965,55.30596
2016,-15378,50,B-04,21740,2,440,632,4,269,2016_B-04,-165.78965,55.30596
2016,-15378,50,B-04,21740,2,440,628,4,270,2016_B-04,-165.78965,55.30596
2015,-14414,50,B-04,21740,1,580,1412,8,325,2015_B-04,-165.78883,55.35557
2015,-14414,50,B-04,21740,1,530,944,7,326,2015_B-04,-165.78883,55.35557
2015,-14414,50,B-04,21740,1,500,878,6,327,2015_B-04,-165.78883,55.35557
2015,-14414,50,B-04,21740,1,390,444,3,328,2015_B-04,-165.78883,55.35557
2015,-14414,50,B-04,21740,2,550,826,7,329,2015_B-04,-165.78883,55.35557
2015,-14414,50,B-04,21740,2,590,1204,9,330,2015_B-04,-165.78883,55.35557
2019,-18975,50,B-05,21740,1,500,848,7,89,2019_B-05,-165.16651,55.30889
2019,-18975,50,B-05,21740,2,500,1060,5,90,2019_B-05,-165.16651,55.30889
2019,-18975,50,B-05,21740,2,550,1149,10,91,2019_B-05,-165.16651,55.30889
2019,-18975,50,B-05,21740,2,490,838,6,92,2019_B-05,-165.16651,55.30889
2019,-18975,50,B-05,21740,2,510,924,6,93,2019_B-05,-165.16651,55.30889
2015,-14148,50,B-05,21740,1,510,844,7,143,2015_B-05,-165.17237,55.31386
2015,-14148,50,B-05,21740,1,540,998,9,144,2015_B-05,-165.17237,55.31386
2015,-14148,50,B-05,21740,1,520,1008,10,145,2015_B-05,-165.17237,55.31386
2015,-14148,50,B-05,21740,1,570,1198,10,146,2015_B-05,-165.17237,55.31386
2015,-14148,50,B-05,21740,2,510,832,7,147,2015_B-05,-165.17237,55.31386
2015,-14148,50,B-05,21740,1,480,824,9,148,2015_B-05,-165.17237,55.31386
2018,-17642,50,B-05,21740,1,490,866,6,237,2018_B-05,-165.1601,55.3204
2018,-17642,50,B-05,21740,2,490,822,6,238,2018_B-05,-165.1601,55.3204
2018,-17642,50,B-05,21740,2,530,958,9,239,2018_B-05,-165.1601,55.3204
2018,-17642,50,B-05,21740,2,530,1044,6,240,2018_B-05,-165.1601,55.3204
2018,-17642,50,B-05,21740,2,500,822,7,241,2018_B-05,-165.1601,55.3204
2017,-16542,50,B-05,21740,1,470,676,5,296,2017_B-05,-165.16088,55.32188
2017,-16542,50,B-05,21740,1,420,674,5,297,2017_B-05,-165.16088,55.32188
2017,-16542,50,B-05,21740,1,470,714,6,298,2017_B-05,-165.16088,55.32188
2017,-16542,50,B-05,21740,2,490,740,7,299,2017_B-05,-165.16088,55.32188
2017,-16542,50,B-05,21740,2,480,966,5,300,2017_B-05,-165.16088,55.32188
2016,-15376,50,B-05,21740,2,580,1160,8,292,2016_B-05,-165.1702,55.33878
2016,-15376,50,B-05,21740,2,430,620,4,293,2016_B-05,-165.1702,55.33878
2016,-15376,50,B-05,21740,2,420,576,4,294,2016_B-05,-165.1702,55.33878
2016,-15376,50,B-05,21740,1,430,586,4,295,2016_B-05,-165.1702,55.33878
2016,-15376,50,B-05,21740,1,390,514,4,296,2016_B-05,-165.1702,55.33878
2016,-15376,50,B-05,21740,1,390,450,4,297,2016_B-05,-165.1702,55.33878
2016,-15306,31,B-06,21740,1,400,478,4,242,2016_B-06,-164.54125,55.32014
2016,-15306,31,B-06,21740,1,520,872,8,243,2016_B-06,-164.54125,55.32014
2016,-15306,31,B-06,21740,2,400,456,4,244,2016_B-06,-164.54125,55.32014
2016,-15306,31,B-06,21740,2,560,1072,8,245,2016_B-06,-164.54125,55.32014
2016,-15306,31,B-06,21740,1,380,394,4,241,2016_B-06,-164.54125,55.32014
2017,-16541,31,B-06,21740,2,510,1054,6,291,2017_B-06,-164.56256,55.33005
2017,-16541,31,B-06,21740,2,450,704,5,292,2017_B-06,-164.56256,55.33005
2017,-16541,31,B-06,21740,2,480,768,9,293,2017_B-06,-164.56256,55.33005
2017,-16541,31,B-06,21740,1,460,642,7,294,2017_B-06,-164.56256,55.33005
2017,-16541,31,B-06,21740,2,460,704,6,295,2017_B-06,-164.56256,55.33005
2018,-17639,31,B-06,21740,1,460,676,5,222,2018_B-06,-164.56436,55.34848
2018,-17639,31,B-06,21740,1,500,938,7,223,2018_B-06,-164.56436,55.34848
2018,-17639,31,B-06,21740,2,530,962,11,224,2018_B-06,-164.56436,55.34848
2018,-17639,31,B-06,21740,2,540,848,9,225,2018_B-06,-164.56436,55.34848
2018,-17639,31,B-06,21740,2,420,510,5,226,2018_B-06,-164.56436,55.34848
2019,-18782,31,B-06,21740,1,490,912,6,73,2019_B-06,-164.54327,55.3485
2019,-18782,31,B-06,21740,1,160,26,1,74,2019_B-06,-164.54327,55.3485
2019,-18782,31,B-06,21740,2,530,1042,7,75,2019_B-06,-164.54327,55.3485
2019,-18782,31,B-06,21740,2,540,1132,8,76,2019_B-06,-164.54327,55.3485
2019,-18782,31,B-06,21740,2,510,1026,8,77,2019_B-06,-164.54327,55.3485
2019,-18782,31,B-06,21740,2,470,850,7,78,2019_B-06,-164.54327,55.3485
2015,-14132,31,B-06,21740,1,550,1218,9,117,2015_B-06,-164.54243,55.35321
2015,-14132,31,B-06,21740,2,560,1126,8,118,2015_B-06,-164.54243,55.35321
2015,-14132,31,B-06,21740,2,500,788,7,114,2015_B-06,-164.54243,55.35321
2015,-14132,31,B-06,21740,2,560,1052,7,115,2015_B-06,-164.54243,55.35321
2015,-14132,31,B-06,21740,2,570,972,8,116,2015_B-06,-164.54243,55.35321
2015,-14132,31,B-06,21740,2,510,902,7,1121,2015_B-06,-164.54243,55.35321
2018,-17584,31,B-07,21740,1,470,760,6,99,2018_B-07,-164.01081,55.3143
2018,-17584,31,B-07,21740,1,470,650,6,100,2018_B-07,-164.01081,55.3143
2018,-17584,31,B-07,21740,2,480,645,7,101,2018_B-07,-164.01081,55.3143
2018,-17584,31,B-07,21740,2,440,595,5,102,2018_B-07,-164.01081,55.3143
2018,-17584,31,B-07,21740,2,520,900,6,103,2018_B-07,-164.01081,55.3143
2017,-16525,31,B-07,21740,1,430,595,5,60,2017_B-07,-164.03909,55.32024
2017,-16525,31,B-07,21740,1,450,670,5,61,2017_B-07,-164.03909,55.32024
2017,-16525,31,B-07,21740,1,440,595,5,62,2017_B-07,-164.03909,55.32024
2017,-16525,31,B-07,21740,2,470,740,4,63,2017_B-07,-164.03909,55.32024
2017,-16525,31,B-07,21740,2,480,695,5,64,2017_B-07,-164.03909,55.32024
2016,-15305,31,B-07,21740,1,410,512,4,236,2016_B-07,-164.02167,55.33672
2016,-15305,31,B-07,21740,1,410,520,4,237,2016_B-07,-164.02167,55.33672
2016,-15305,31,B-07,21740,2,560,908,8,238,2016_B-07,-164.02167,55.33672
2016,-15305,31,B-07,21740,2,420,564,4,239,2016_B-07,-164.02167,55.33672
2016,-15305,31,B-07,21740,2,440,658,4,240,2016_B-07,-164.02167,55.33672
2015,-14131,31,B-07,21740,2,530,836,7,141,2015_B-07,-164.01952,55.34304
2015,-14131,31,B-07,21740,2,520,836,8,142,2015_B-07,-164.01952,55.34304
2015,-14131,31,B-07,21740,1,550,964,7,137,2015_B-07,-164.01952,55.34304
2015,-14131,31,B-07,21740,2,600,1054,12,138,2015_B-07,-164.01952,55.34304
2015,-14131,31,B-07,21740,2,530,950,8,139,2015_B-07,-164.01952,55.34304
2015,-14131,31,B-07,21740,2,540,966,8,140,2015_B-07,-164.01952,55.34304
2018,-17607,31,B-08,21740,2,490,606,8,97,2018_B-08,-163.42156,55.33034
2018,-17607,31,B-08,21740,1,490,678,7,98,2018_B-08,-163.42156,55.33034
2018,-17607,31,B-08,21740,2,500,760,6,99,2018_B-08,-163.42156,55.33034
2018,-17607,31,B-08,21740,1,470,626,8,100,2018_B-08,-163.42156,55.33034
2018,-17607,31,B-08,21740,1,450,568,8,101,2018_B-08,-163.42156,55.33034
2016,-15265,31,B-08,21740,1,440,580,6,98,2016_B-08,-163.4142,55.33734
2016,-15265,31,B-08,21740,1,510,774,7,99,2016_B-08,-163.4142,55.33734
2016,-15265,31,B-08,21740,1,420,530,5,100,2016_B-08,-163.4142,55.33734
2016,-15265,31,B-08,21740,2,440,642,5,101,2016_B-08,-163.4142,55.33734
2016,-15265,31,B-08,21740,2,460,598,5,102,2016_B-08,-163.4142,55.33734
2015,-14130,31,B-08,21740,2,380,418,3,108,2015_B-08,-163.42662,55.34785
2015,-14130,31,B-08,21740,2,510,714,7,109,2015_B-08,-163.42662,55.34785
2015,-14130,31,B-08,21740,2,360,344,3,110,2015_B-08,-163.42662,55.34785
2015,-14130,31,B-08,21740,1,500,890,7,111,2015_B-08,-163.42662,55.34785
2015,-14130,31,B-08,21740,1,390,450,3,112,2015_B-08,-163.42662,55.34785
2015,-14130,31,B-08,21740,1,400,422,4,113,2015_B-08,-163.42662,55.34785
2017,-16532,31,B-08,21740,1,520,890,9,266,2017_B-08,-163.41351,55.35088
2017,-16532,31,B-08,21740,1,550,982,9,267,2017_B-08,-163.41351,55.35088
2017,-16532,31,B-08,21740,1,510,876,9,268,2017_B-08,-163.41351,55.35088
2017,-16532,31,B-08,21740,1,340,312,3,269,2017_B-08,-163.41351,55.35088
2017,-16532,31,B-08,21740,1,490,780,9,270,2017_B-08,-163.41351,55.35088
2017,-16532,31,B-08,21740,1,470,662,8,271,2017_B-08,-163.41351,55.35088
2017,-16838,50,C-01,21740,2,460,788,5,420,2017_C-01,-167.58769,55.67721
2017,-16838,50,C-01,21740,2,560,1112,9,421,2017_C-01,-167.58769,55.67721
2017,-16838,50,C-01,21740,2,440,622,5,422,2017_C-01,-167.58769,55.67721
2017,-16838,50,C-01,21740,2,490,748,6,423,2017_C-01,-167.58769,55.67721
2017,-16838,50,C-01,21740,1,410,500,4,424,2017_C-01,-167.58769,55.67721
2015,-14161,50,C-02,21740,2,620,1556,9,362,2015_C-02,-166.98173,55.66171
2015,-14161,50,C-02,21740,2,610,1434,9,363,2015_C-02,-166.98173,55.66171
2015,-14161,50,C-02,21740,2,510,836,6,364,2015_C-02,-166.98173,55.66171
2015,-14161,50,C-02,21740,1,530,872,8,365,2015_C-02,-166.98173,55.66171
2015,-14161,50,C-02,21740,1,460,572,6,366,2015_C-02,-166.98173,55.66171
2015,-14161,50,C-02,21740,1,370,376,3,367,2015_C-02,-166.98173,55.66171
2016,-15523,50,C-03,21740,2,370,388,3,310,2016_C-03,-166.38061,55.66121
2016,-15523,50,C-03,21740,2,430,640,4,311,2016_C-03,-166.38061,55.66121
2016,-15523,50,C-03,21740,2,400,544,4,312,2016_C-03,-166.38061,55.66121
2016,-15523,50,C-03,21740,1,400,534,4,313,2016_C-03,-166.38061,55.66121
2016,-15523,50,C-03,21740,1,410,512,4,314,2016_C-03,-166.38061,55.66121
2016,-15523,50,C-03,21740,1,440,656,4,315,2016_C-03,-166.38061,55.66121
2017,-16560,50,C-03,21740,2,480,885,5,199,2017_C-03,-166.38265,55.68056
2017,-16560,50,C-03,21740,2,430,670,5,200,2017_C-03,-166.38265,55.68056
2017,-16560,50,C-03,21740,2,520,1035,5,201,2017_C-03,-166.38265,55.68056
2017,-16560,50,C-03,21740,1,530,990,7,202,2017_C-03,-166.38265,55.68056
2017,-16560,50,C-03,21740,1,440,645,5,203,2017_C-03,-166.38265,55.68056
2015,-14412,50,C-04,21740,1,530,878,6,319,2015_C-04,-165.79681,55.67852
2015,-14412,50,C-04,21740,1,500,770,6,320,2015_C-04,-165.79681,55.67852
2015,-14412,50,C-04,21740,2,530,884,6,321,2015_C-04,-165.79681,55.67852
2015,-14412,50,C-04,21740,2,530,860,6,322,2015_C-04,-165.79681,55.67852
2015,-14412,50,C-04,21740,2,580,1204,9,323,2015_C-04,-165.79681,55.67852
2015,-14412,50,C-04,21740,2,560,1016,9,324,2015_C-04,-165.79681,55.67852
2015,-14135,31,C-05,21740,1,550,1006,9,154,2015_C-05,-165.18867,55.63985
2015,-14135,31,C-05,21740,1,520,848,10,149,2015_C-05,-165.18867,55.63985
2015,-14135,31,C-05,21740,1,510,850,7,150,2015_C-05,-165.18867,55.63985
2015,-14135,31,C-05,21740,1,560,1106,7,151,2015_C-05,-165.18867,55.63985
2015,-14135,31,C-05,21740,1,540,1040,6,152,2015_C-05,-165.18867,55.63985
2015,-14135,31,C-05,21740,1,530,918,7,153,2015_C-05,-165.18867,55.63985
2017,-16543,31,C-05,21740,1,400,444,4,302,2017_C-05,-165.17059,55.65586
2017,-16543,31,C-05,21740,2,490,924,6,303,2017_C-05,-165.17059,55.65586
2017,-16543,31,C-05,21740,2,440,682,4,304,2017_C-05,-165.17059,55.65586
2017,-16543,31,C-05,21740,2,420,602,5,305,2017_C-05,-165.17059,55.65586
2017,-16543,31,C-05,21740,1,550,1008,9,301,2017_C-05,-165.17059,55.65586
2016,-15375,31,C-05,21740,2,560,1080,8,286,2016_C-05,-165.17428,55.67357
2016,-15375,31,C-05,21740,2,420,638,4,287,2016_C-05,-165.17428,55.67357
2016,-15375,31,C-05,21740,2,400,482,4,288,2016_C-05,-165.17428,55.67357
2016,-15375,31,C-05,21740,1,570,1124,9,289,2016_C-05,-165.17428,55.67357
2016,-15375,31,C-05,21740,1,440,658,4,290,2016_C-05,-165.17428,55.67357
2016,-15375,31,C-05,21740,1,440,676,5,291,2016_C-05,-165.17428,55.67357
2018,-17637,31,C-05,21740,2,500,916,5,215,2018_C-05,-165.17699,55.68308
2018,-17637,31,C-05,21740,1,460,606,5,212,2018_C-05,-165.17699,55.68308
2018,-17637,31,C-05,21740,1,490,726,6,213,2018_C-05,-165.17699,55.68308
2018,-17637,31,C-05,21740,1,450,696,6,214,2018_C-05,-165.17699,55.68308
2018,-17637,31,C-05,21740,2,500,744,6,216,2018_C-05,-165.17699,55.68308
2016,-15299,31,C-06,21740,1,420,512,4,231,2016_C-06,-164.58028,55.66055
2016,-15299,31,C-06,21740,1,440,576,5,232,2016_C-06,-164.58028,55.66055
2016,-15299,31,C-06,21740,2,430,584,5,233,2016_C-06,-164.58028,55.66055
2016,-15299,31,C-06,21740,2,400,502,4,234,2016_C-06,-164.58028,55.66055
2016,-15299,31,C-06,21740,2,390,490,4,235,2016_C-06,-164.58028,55.66055
2015,-14136,31,C-06,21740,1,500,844,9,155,2015_C-06,-164.59528,55.66428
2015,-14136,31,C-06,21740,2,510,880,7,156,2015_C-06,-164.59528,55.66428
2015,-14136,31,C-06,21740,2,480,810,6,157,2015_C-06,-164.59528,55.66428
2015,-14136,31,C-06,21740,2,520,980,7,158,2015_C-06,-164.59528,55.66428
2015,-14136,31,C-06,21740,2,520,932,8,159,2015_C-06,-164.59528,55.66428
2015,-14136,31,C-06,21740,2,550,1074,7,160,2015_C-06,-164.59528,55.66428
2019,-18977,31,C-06,21740,1,490,950,6,94,2019_C-06,-164.5875,55.66857
2019,-18977,31,C-06,21740,2,500,922,6,96,2019_C-06,-164.5875,55.66857
2019,-18977,31,C-06,21740,2,520,836,7,97,2019_C-06,-164.5875,55.66857
